

Starting up round ID . 21:39:31
---------------------
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:18]ATTACK: supper noob(noober84555) shot Katlyn Carmichael(jaxonmaxx) with The death bolt (NEWHP: 33.5) (170,281,2)
[22:28:18]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
